A	1c_enterprise	1C Enterprise
A	abap	ABAP
A	abl	OpenEdge ABL
A	abnf	ABNF
A	abuild	Alpine Abuild
A	acfm	Adobe Font Metrics
A	aconf	ApacheConf
A	actionscript	ActionScript
A	actionscript3	ActionScript
A	actionscript_3	ActionScript
A	ada	Ada
A	ada2005	Ada
A	ada95	Ada
A	adobe_composite_font_metrics	Adobe Font Metrics
A	adobe_font_metrics	Adobe Font Metrics
A	adobe_multiple_font_metrics	Adobe Font Metrics
A	advpl	xBase
A	afdko	OpenType Feature File
A	agda	Agda
A	ags	AGS Script
A	ags_script	AGS Script
A	ahk	AutoHotkey
A	alloy	Alloy
A	alpine_abuild	Alpine Abuild
A	altium	Altium Designer
A	altium_designer	Altium Designer
A	amfm	Adobe Font Metrics
A	ampl	AMPL
A	angelscript	AngelScript
A	ant_build_system	Ant Build System
A	antlr	ANTLR
A	apache	ApacheConf
A	apacheconf	ApacheConf
A	apex	Apex
A	api_blueprint	API Blueprint
A	apkbuild	Alpine Abuild
A	apl	APL
A	apollo_guidance_computer	Apollo Guidance Computer
A	applescript	AppleScript
A	arc	Arc
A	arexx	REXX
A	as3	ActionScript
A	asciidoc	AsciiDoc
A	asm	Assembly
A	asn.1	ASN.1
A	asp	ASP
A	aspectj	AspectJ
A	aspx	ASP
A	aspx-vb	ASP
A	assembly	Assembly
A	asymptote	Asymptote
A	ats	ATS
A	ats2	ATS
A	au3	AutoIt
A	augeas	Augeas
A	autoconf	M4Sugar
A	autohotkey	AutoHotkey
A	autoit	AutoIt
A	autoit3	AutoIt
A	autoitscript	AutoIt
A	awk	Awk
A	b3d	BlitzBasic
A	ballerina	Ballerina
A	bash	Shell
A	bash_session	ShellSession
A	bat	Batchfile
A	batch	Batchfile
A	batchfile	Batchfile
A	befunge	Befunge
A	bison	Bison
A	bitbake	BitBake
A	blade	Blade
A	blitz3d	BlitzBasic
A	blitzbasic	BlitzBasic
A	blitzmax	BlitzMax
A	blitzplus	BlitzBasic
A	bluespec	Bluespec
A	bmax	BlitzMax
A	boo	Boo
A	bplus	BlitzBasic
A	brainfuck	Brainfuck
A	brightscript	Brightscript
A	bro	Zeek
A	bsdmake	Makefile
A	byond	DM
A	c	C
A	c#	C#
A	c++	C++
A	c++-objdump	Cpp-ObjDump
A	c-objdump	C-ObjDump
A	c2hs	C2hs Haskell
A	c2hs_haskell	C2hs Haskell
A	cabal	Cabal Config
A	cabal_config	Cabal Config
A	cap'n_proto	Cap'n Proto
A	carto	CartoCSS
A	cartocss	CartoCSS
A	ceylon	Ceylon
A	cfc	ColdFusion CFC
A	cfm	ColdFusion
A	cfml	ColdFusion
A	chapel	Chapel
A	charity	Charity
A	chpl	Chapel
A	chuck	ChucK
A	cirru	Cirru
A	clarion	Clarion
A	clean	Clean
A	click	Click
A	clipper	xBase
A	clips	CLIPS
A	clojure	Clojure
A	closure_templates	Closure Templates
A	cloud_firestore_security_rules	Cloud Firestore Security Rules
A	cmake	CMake
A	cobol	COBOL
A	coffee	CoffeeScript
A	coffee-script	CoffeeScript
A	coffeescript	CoffeeScript
A	coldfusion	ColdFusion
A	coldfusion_cfc	ColdFusion CFC
A	coldfusion_html	ColdFusion
A	collada	COLLADA
A	common_lisp	Common Lisp
A	common_workflow_language	Common Workflow Language
A	component_pascal	Component Pascal
A	conll	CoNLL-U
A	conll-u	CoNLL-U
A	conll-x	CoNLL-U
A	console	ShellSession
A	cool	Cool
A	coq	Coq
A	cperl	Perl
A	cpp	C++
A	cpp-objdump	Cpp-ObjDump
A	creole	Creole
A	crystal	Crystal
A	csharp	C#
A	cson	CSON
A	csound	Csound
A	csound-csd	Csound Document
A	csound-orc	Csound
A	csound-sco	Csound Score
A	csound_document	Csound Document
A	csound_score	Csound Score
A	css	CSS
A	csv	CSV
A	cucumber	Gherkin
A	cuda	Cuda
A	cweb	CWeb
A	cwl	Common Workflow Language
A	cycript	Cycript
A	cython	Cython
A	d	D
A	d-objdump	D-ObjDump
A	darcs_patch	Darcs Patch
A	dart	Dart
A	dataweave	DataWeave
A	dcl	DIGITAL Command Language
A	delphi	Component Pascal
A	desktop	desktop
A	dhall	Dhall
A	diff	Diff
A	digital_command_language	DIGITAL Command Language
A	django	HTML+Django
A	dm	DM
A	dns_zone	DNS Zone
A	dockerfile	Dockerfile
A	dogescript	Dogescript
A	dosbatch	Batchfile
A	dosini	INI
A	dpatch	Darcs Patch
A	dtrace	DTrace
A	dtrace-script	DTrace
A	dylan	Dylan
A	e	E
A	eagle	Eagle
A	easybuild	Easybuild
A	ebnf	EBNF
A	ec	eC
A	ecere_projects	Ecere Projects
A	ecl	ECL
A	eclipse	ECLiPSe
A	ecr	HTML+ECR
A	editor-config	EditorConfig
A	editorconfig	EditorConfig
A	edje_data_collection	Edje Data Collection
A	edn	edn
A	eeschema_schematic	KiCad Schematic
A	eex	HTML+EEX
A	eiffel	Eiffel
A	ejs	EJS
A	elisp	Emacs Lisp
A	elixir	Elixir
A	elm	Elm
A	emacs	Emacs Lisp
A	emacs_lisp	Emacs Lisp
A	emberscript	EmberScript
A	eml	EML
A	eq	EQ
A	erb	HTML+ERB
A	erlang	Erlang
A	f#	F#
A	f*	F*
A	factor	Factor
A	fancy	Fancy
A	fantom	Fantom
A	figfont	FIGlet Font
A	figlet_font	FIGlet Font
A	filebench_wml	Filebench WML
A	filterscript	Filterscript
A	fish	fish
A	flex	Lex
A	flux	FLUX
A	formatted	Formatted
A	forth	Forth
A	fortran	Fortran
A	foxpro	xBase
A	freemarker	FreeMarker
A	frege	Frege
A	fsharp	F#
A	fstar	F*
A	ftl	FreeMarker
A	fundamental	Text
A	g-code	G-code
A	game_maker_language	Game Maker Language
A	gams	GAMS
A	gap	GAP
A	gcc_machine_description	GCC Machine Description
A	gdb	GDB
A	gdscript	GDScript
A	genie	Genie
A	genshi	Genshi
A	gentoo_ebuild	Gentoo Ebuild
A	gentoo_eclass	Gentoo Eclass
A	gerber_image	Gerber Image
A	gettext_catalog	Gettext Catalog
A	gf	Grammatical Framework
