Buggy	-1.5
Calvário	-1.5
Diabo	-1.5
Inspirado	1.5
Nêmesis	-1.5
Paraíso	1.5
Parreira	-1.5
Premier	1.5
Punk	-1.5
Satanás	-1.5
Satã	-1.5
abandonado	-1.5
abandonar	-1.5
abandono	-1.5
abater	-1.5
abatido	-1.5
abatidos	-1.5
abençoar	1.5
aberração	-1.5
abertamente	1.5
abertura	1.5
abismo	-1.5
abolir	-1.5
abominável	-1.5
aborrecido	-1.5
aborrecimento	-1.5
abortado	-1.5
abortar	-1.5
aborto	-1.5
abrandar	1.5
abrangente	1.5
abrasivo	-1.5
abraçar	1.5
abraço	1.5
abrigando	-1.5
abrigar	-1.5
abruptamente	-1.5
abrupto	-1.5
absurdamente	-1.5
absurdo	-1.5
abundante	1.5
abundância	1.5
abusada	-1.5
abusado	-1.5
abusar	-1.5
abuse	-1.5
abusivo	-1.5
abuso	-1.5
abusos	-1.5
abóbora	-1.5
acalmar	1.5
acalmá	1.5
acaso	-1.5
acento	-1.5
acertar	-1.5
aceso	1.5
acessível	1.5
achatado	-1.5
ache	-1.5
acidentado	-1.5
acidental	-1.5
acidente	-1.5
acidentes	-1.5
aclamado	1.5
aclamar	1.5
aclamação	1.5
acolher	1.5
acolhimento	1.5
aconchegante	1.5
acrobacia	-1.5
acumular	-1.5
acurado	1.5
acusa	-1.5
acusador	-1.5
acusar	-1.5
acusação	-1.5
acusações	-1.5
acérrimo	1.5
adaptativo	1.5
adaptável	1.5
adequado	1.5
aderente	1.5
adiar	1.5
adivinhar	1.5
adjacente	-1.5
admirador	1.5
admirar	1.5
admiração	1.5
admirável	1.5
admissível	1.5
admitiu	-1.5
adocicado	1.5
adorado	1.5
adorar	1.5
adoração	1.5
adorável	1.5
adulterado	-1.5
advanced	1.5
adversidade	-1.5
adverso	-1.5
adversário	-1.5
advertido	-1.5
advertência	-1.5
advogada	1.5
advogado	1.5
advogou	1.5
afastar	-1.5
afecção	1.5
afeição	1.5
afeto	1.5
afetuoso	1.5
afiado	1.5
afinidade	1.5
afirmar	1.5
afirmativo	1.5
afirmação	1.5
afluente	1.5
afluência	1.5
afogamento	-1.5
afogar	-1.5
afronta	-1.5
afrontar	-1.5
afundado	-1.5
afundamento	-1.5
afundar	-1.5
afável	1.5
agarrar	-1.5
agilidade	1.5
agitar	-1.5
agonia	-1.5
agonizante	-1.5
agrada	1.5
agradar	1.5
agradecer	1.5
agradecido	1.5
agradecimento	1.5
agradável	1.5
agravamento	-1.5
agravante	-1.5
agravar	-1.5
agressividade	-1.5
agressivo	-1.5
agressor	-1.5
agressão	-1.5
agudo	1.5
ajuda	1.5
ajudar	1.5
ajudou	1.5
ajustável	1.5
alargamento	-1.5
alarmante	-1.5
alarme	-1.5
alavancar	1.5
aleatoriamente	-1.5
aleatório	-1.5
alegar	-1.5
alegação	-1.5
alegações	-1.5
alegrar	1.5
alegre	1.5
alegremente	1.5
alegria	1.5
aleijado	-1.5
alergia	-1.5
alergias	-1.5
alheio	-1.5
alienado	-1.5
alienar	-1.5
alienação	-1.5
alimentando	1.5
alimento	1.5
aliviando	1.5
aliviar	1.5
almofada	1.5
alta	-1.5
altivo	-1.5
alto	-1.5
altruísta	1.5
alucinação	-1.5
alvorada	1.5
alvorecer	1.5
