Ding	-1.5
abuse	-1.5
accessible	1.5
accurate	1.5
achievement	1.5
advanced	1.5
advantage	1.5
ambiguous	-1.5
angry	-1.5
appropriate	1.5
approval	1.5
arbitrary	-1.5
attack	-1.5
attraction	1.5
autonomous	1.5
available	1.5
award	1.5
awarded	1.5
awards	1.5
ax	-1.5
backward	-1.5
bad	-1.5
balanced	1.5
beautiful	1.5
benefit	1.5
best	1.5
better	1.5
bias	-1.5
bitter	-1.5
blind	-1.5
bomb	-1.5
bonus	1.5
boom	1.5
break	-1.5
breaking	-1.5
breaks	-1.5
broken	-1.5
bug	-1.5
burn	-1.5
capable	1.5
cave	-1.5
charm	1.5
chronic	-1.5
classic	1.5
clean	1.5
clear	1.5
clearly	1.5
cloud	-1.5
coherence	1.5
cold	-1.5
collapse	-1.5
compact	1.5
compatible	1.5
complementary	1.5
complex	-1.5
compliant	1.5
complicated	-1.5
concern	-1.5
concerned	-1.5
conflict	-1.5
confused	-1.5
confusing	-1.5
confusion	-1.5
consistent	1.5
contribution	1.5
convenience	1.5
cool	1.5
correct	1.5
correctly	1.5
crisis	-1.5
critical	-1.5
cry	-1.5
damage	-1.5
dark	-1.5
dead	-1.5
death	-1.5
decay	-1.5
dedicated	1.5
degenerate	-1.5
delay	-1.5
delicacy	1.5
deny	-1.5
desert	-1.5
destiny	1.5
die	-1.5
died	-1.5
dies	-1.5
difficult	-1.5
din	-1.5
disable	-1.5
disabled	-1.5
disorder	-1.5
dispute	-1.5
disputed	-1.5
divine	1.5
doubt	-1.5
drag	-1.5
dubious	-1.5
dynamic	1.5
easier	1.5
easy	1.5
eccentric	-1.5
eccentricity	-1.5
effective	1.5
effectively	1.5
elimination	-1.5
encourage	1.5
enough	1.5
error	-1.5
errors	-1.5
evil	-1.5
fail	-1.5
failed	-1.5
failure	-1.5
fair	1.5
fairly	1.5
faith	1.5
fall	-1.5
falls	-1.5
false	-1.5
fame	1.5
famous	1.5
fancy	1.5
fast	1.5
faster	1.5
fat	-1.5
fault	-1.5
feat	1.5
fever	-1.5
fiction	-1.5
fine	1.5
foul	-1.5
free	1.5
freedom	1.5
fresh	1.5
frozen	-1.5
gain	1.5
gall	-1.5
gold	1.5
golden	1.5
good	1.5
grace	1.5
grand	1.5
great	1.5
greatest	1.5
gross	-1.5
gutter	-1.5
hack	-1.5
hang	-1.5
happy	1.5
hard	-1.5
heaven	1.5
hell	-1.5
helpful	1.5
helping	1.5
hollow	-1.5
holy	1.5
honor	1.5
hot	1.5
ideal	1.5
idol	1.5
illusion	-1.5
important	1.5
improve	1.5
improved	1.5
inactive	-1.5
incomplete	-1.5
incorrect	-1.5
incorrectly	-1.5
infection	-1.5
inferior	-1.5
inflammatory	-1.5
instrumental	1.5
integral	1.5
integrated	1.5
interference	-1.5
invalid	-1.5
invisible	-1.5
isolated	-1.5
issue	-1.5
issues	-1.5
lack	-1.5
lacking	-1.5
lazy	-1.5
lead	1.5
leading	1.5
led	1.5
lie	-1.5
like	1.5
limit	-1.5
limitations	-1.5
limited	-1.5
logical	1.5
lonely	-1.5
loss	-1.5
lost	-1.5
love	1.5
loved	1.5
luck	1.5
magic	1.5
master	1.5
merit	1.5
mist	-1.5
mistake	-1.5
mistakes	-1.5
modern	1.5
negative	-1.5
nervous	-1.5
nice	1.5
noble	1.5
noise	-1.5
object	-1.5
oblique	-1.5
odd	-1.5
omit	-1.5
optimal	1.5
pain	-1.5
pale	-1.5
pan	-1.5
panic	-1.5
paradise	1.5
passion	1.5
passive	-1.5
peace	1.5
penalty	-1.5
perfect	1.5
pleasure	1.5
plot	-1.5
poor	-1.5
popular	1.5
positive	1.5
powerful	1.5
precise	1.5
prefer	1.5
preferable	1.5
prize	1.5
problem	-1.5
problems	-1.5
progressive	1.5
proper	1.5
properly	1.5
proprietary	-1.5
protect	1.5
protection	1.5
punk	-1.5
pure	1.5
radical	-1.5
rail	-1.5
readable	1.5
ready	1.5
reasonable	1.5
recommend	1.5
recommended	1.5
recovery	1.5
redundant	-1.5
reform	1.5
refresh	1.5
regard	1.5
reliable	1.5
relief	1.5
resistance	-1.5
respect	1.5
revert	-1.5
rich	1.5
right	1.5
risk	-1.5
rough	-1.5
rue	-1.5
safe	1.5
saint	1.5
satisfy	1.5
secure	1.5
sensitive	1.5
shark	-1.5
shock	-1.5
siege	-1.5
significant	1.5
sin	-1.5
skill	1.5
slow	-1.5
soft	1.5
solid	1.5
sorry	-1.5
spade	-1.5
speedy	1.5
split	-1.5
stability	1.5
stable	1.5
stain	-1.5
stall	-1.5
static	-1.5
steep	-1.5
stimulating	1.5
strange	-1.5
stress	-1.5
strike	-1.5
strong	1.5
stuck	-1.5
stunt	-1.5
success	1.5
successful	1.5
successfully	1.5
sufficient	1.5
suitable	1.5
super	1.5
superficial	-1.5
superior	1.5
support	1.5
supported	1.5
supporting	1.5
supports	1.5
suppression	-1.5
survival	1.5
sweet	1.5
syndrome	-1.5
tank	-1.5
thank	1.5
top	1.5
transparent	1.5
treasure	1.5
trouble	-1.5
trust	1.5
ugly	-1.5
undefined	-1.5
unity	1.5
unknown	-1.5
unnecessary	-1.5
useful	1.5
useless	-1.5
usurp	-1.5
variety	1.5
vice	-1.5
victory	1.5
violation	-1.5
virus	-1.5
volatile	-1.5
warning	-1.5
wedge	-1.5
welcome	1.5
well	1.5
wild	-1.5
willing	1.5
win	1.5
winner	1.5
winners	1.5
won	1.5
wonder	1.5
wonderful	1.5
work	1.5
worked	1.5
works	1.5
worth	1.5
wrong	-1.5
กก	-1.5
กด	-1.5
กตัญญู	1.5
กบฏ	-1.5
