Fanúšikovia	1.5
Miloval	1.5
Nemesis	-1.5
Nevýhodou	-1.5
Super	1.5
Víťazi	1.5
abnormálne	-1.5
absencia	-1.5
absurdné	-1.5
absurdný	-1.5
advokát	1.5
aerodynamický	1.5
agility	1.5
agresie	-1.5
agresivita	-1.5
agresívne	-1.5
agresívny	-1.5
ako	1.5
akoby	1.5
aktívny	1.5
aký	1.5
ambiciózny	1.5
anarchia	-1.5
anarchista	-1.5
anarchizmus	-1.5
angažovaný	-1.5
anjel	1.5
anomálie	-1.5
apatia	-1.5
archaický	-1.5
arogancia	-1.5
arogantný	-1.5
asociatívne	1.5
atrakcie	1.5
atraktívne	1.5
atraktívny	1.5
autentický	1.5
autonómna	1.5
autonómny	1.5
autoritatívne	1.5
autoritatívny	1.5
available	1.5
ax	-1.5
bane	-1.5
baviť	1.5
baví	1.5
beg	-1.5
beletrie	-1.5
best	1.5
bezchybne	1.5
bezchybný	1.5
bezmocnosť	-1.5
beznádejne	-1.5
bezpečne	1.5
bezpečný	1.5
bezplatný	1.5
bezpochyby	1.5
bezvýznamný	-1.5
bežný	-1.5
bieda	-1.5
biedne	-1.5
bitka	-1.5
bizarné	-1.5
bič	-1.5
biť	-1.5
blaho	1.5
blahobyt	1.5
blato	-1.5
blaženosť	1.5
blokáda	-1.5
bludy	-1.5
bláznivý	-1.5
blázon	-1.5
bohato	1.5
bohatosť	1.5
bohatstvo	1.5
bohatý	1.5
bohatší	1.5
bohužiaľ	-1.5
boj	-1.5
bojkot	-1.5
bojoval	-1.5
bojovať	-1.5
bojovný	-1.5
bojuje	-1.5
bolesti	-1.5
bolí	-1.5
bomba	-1.5
bombardovanie	-1.5
bombardovať	-1.5
bonus	1.5
bonusy	1.5
boom	1.5
božský	1.5
boží	1.5
brat	-1.5
break	-1.5
breaks	-1.5
bremeno	-1.5
brnenie	-1.5
brutality	-1.5
brutálne	-1.5
brutálny	-1.5
bráni	-1.5
brániť	-1.5
brúsenie	-1.5
bug	-1.5
bum	-1.5
busty	-1.5
bystrý	1.5
bábka	-1.5
bábkový	-1.5
bábky	-1.5
bájny	1.5
búriť	-1.5
búrka	-1.5
búrlivý	-1.5
celkom	1.5
celočíselný	1.5
cena	1.5
cenný	1.5
chaos	-1.5
chaotický	-1.5
charakteristický	1.5
charitatívne	1.5
chcieť	1.5
chlad	-1.5
chladne	-1.5
chobot	-1.5
choroba	-1.5
chorobný	-1.5
chorý	-1.5
chorľavý	-1.5
chrbtica	1.5
chrbticu	1.5
chronický	-1.5
chrániť	1.5
chudoba	-1.5
chudobnejší	-1.5
chudobný	-1.5
chuť	1.5
chváliť	1.5
chyba	-1.5
chybne	-1.5
chybný	-1.5
chyby	-1.5
chátrať	-1.5
chýbať	-1.5
chýry	-1.5
cieľový	-1.5
citeľný	1.5
citlivosť	-1.5
citlivý	1.5
citový	1.5
clear	1.5
cnosť	1.5
collapse	-1.5
cons	-1.5
cool	1.5
correct	1.5
crash	-1.5
cudzie	-1.5
cudzinec	-1.5
cítiť	-1.5
dark	-1.5
darí	1.5
death	-1.5
defenzívny	-1.5
deformovaný	-1.5
degenerácia	-1.5
degradácie	-1.5
delený	-1.5
depresia	-1.5
depresívne	-1.5
despota	-1.5
deviate	-1.5
deštruktívne	-1.5
diabol	-1.5
diamant	-1.5
die	-1.5
diktátor	-1.5
diplomatický	1.5
disabled	-1.5
disident	-1.5
diskriminácia	-1.5
diskriminácie	-1.5
diskutabilné	-1.5
diskutabilný	-1.5
div	1.5
divoko	-1.5
divoká	1.5
divoký	-1.5
divý	-1.5
dlh	-1.5
dlhy	-1.5
dobre	1.5
dobro	1.5
dobrodružný	1.5
dobrovoľne	1.5
dobrý	1.5
dohľad	-1.5
dojem	1.5
dokonale	1.5
dokonalosť	1.5
dokonalý	1.5
dokázať	1.5
dominuje	1.5
donútiť	-1.5
doom	-1.5
doplnené	1.5
doplnkový	1.5
doplnok	1.5
dopĺňa	1.5
dosiahnuteľné	1.5
dosiahnuteľný	1.5
dosiahnutie	1.5
dosiahnutý	1.5
dosiahnuť	1.5
dostatok	1.5
dostatočne	1.5
dostatočný	1.5
dostupné	1.5
dostupný	1.5
dosť	1.5
dozadu	-1.5
drahokamy	1.5
drasticky	-1.5
dravý	-1.5
drobný	-1.5
droga	-1.5
drsný	-1.5
družstvo	1.5
držať	-1.5
duchovný	1.5
dutina	-1.5
dutý	-1.5
dych	1.5
dym	-1.5
dynamický	1.5
démon	-1.5
dôkladne	1.5
dôkladný	1.5
dôležitosť	1.5
dôležitý	1.5
dôrazne	-1.5
dôsledne	1.5
dôsledok	-1.5
dôstojnosť	1.5
dôstojný	1.5
dôvera	1.5
dôverovať	1.5
dôveryhodnosti	1.5
dôveryhodný	1.5
easy	1.5
efektívne	1.5
ekonomický	1.5
elegantne	1.5
elegantný	1.5
eliminácia	-1.5
elita	1.5
elite	1.5
energický	1.5
epidémia	-1.5
epidémie	-1.5
error	-1.5
erupcie	-1.5
erózia	-1.5
etický	1.5
exil	-1.5
exile	-1.5
explodovať	-1.5
extáza	1.5
extázy	1.5
fair	1.5
fajčiť	-1.5
falošný	-1.5
false	-1.5
fantázie	1.5
fast	1.5
favorit	1.5
fašistický	-1.5
fašizmus	-1.5
feat	1.5
fiction	-1.5
fiktívne	-1.5
fiktívny	-1.5
flexibilita	1.5
flexibility	1.5
fond	1.5
free	1.5
frustrácie	-1.5
funky	-1.5
fuzzy	-1.5
gangster	-1.5
geniálny	1.5
genocída	-1.5
geto	-1.5
good	1.5
grand	1.5
guláš	-1.5
génius	1.5
halucinácie	-1.5
hanlivý	-1.5
happy	1.5
hard	-1.5
harmonicky	1.5
harmonický	1.5
harmónia	1.5
hate	-1.5
havaroval	-1.5
hlad	-1.5
hladko	1.5
hladký	1.5
hladomor	-1.5
hlasné	1.5
hlavný	1.5
hlboko	1.5
hlboký	1.5
hliadka	-1.5
hliadky	-1.5
